2016-01-01,14236.9
2016-02-01,4519.89
2016-03-01,55691.01
2016-04-01,28295.35
2016-05-01,23648.29
2016-06-01,34595.13
2016-07-01,33946.39
2016-08-01,27909.47
2016-09-01,81777.35
2016-10-01,31453.39
2016-11-01,78628.72
2016-12-01,69545.62
2017-01-01,18174.08
2017-02-01,11951.41
2017-03-01,38726.25
2017-04-01,34195.21
2017-05-01,30131.69
2017-06-01,24797.29
2017-07-01,28765.33
2017-08-01,36898.33
2017-09-01,64595.92
2017-10-01,31404.92
2017-11-01,75972.56
2017-12-01,74919.52
2018-01-01,18542.49
2018-02-01,22867.71
2018-03-01,51186.22
2018-04-01,39248.59
2018-05-01,56691.08
2018-06-01,39430.44
2018-07-01,38440.76
2018-08-01,33265.56
2018-09-01,72908.11
2018-10-01,56463.13
2018-11-01,82192.32
2018-12-01,97237.42
2019-01-01,44703.14
2019-02-01,20301.13
2019-03-01,58872.35
2019-04-01,36521.54
2019-05-01,44261.11
2019-06-01,52981.73
2019-07-01,45264.42
2019-08-01,63120.89
2019-09-01,87866.65
2019-10-01,77776.92
2019-11-01,118447.83
2019-12-01,83829.32
